Quarter,region,Sexual offences,"Attempts/threats to murder, assaults, harassments and related offences",Driving/in charge of a vehicle while over legal alcohol limit,Driving/in charge of a vehicle under the influence of drugs,Endangering traffic offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,Theft/taking of vehicle and related offences,Controlled drug offences,Public order and other social code offences,Disorderly conduct
2017Q4,Galway,42,204,119,2,4,11,210,515,16,175,478,397
2017Q4,Roscommon/Longford,8,74,48,5,1,5,99,166,8,34,117,104
2017Q4,Cork City,52,303,83,3,3,24,165,985,73,176,616,501
2017Q4,Cork North,21,116,82,7,0,3,94,205,29,130,212,187
2017Q4,Cork West,14,98,47,5,0,3,28,82,5,48,144,132
2017Q4,Kerry,26,164,84,3,2,2,46,244,9,151,394,354
2017Q4,Limerick,33,209,80,4,8,18,210,828,39,198,331,256
2017Q4,Laois/Offaly,32,165,76,2,5,9,146,403,24,115,189,161
2017Q4,Meath,20,124,67,1,2,14,210,510,44,74,126,93
2017Q4,Wicklow,30,99,31,3,0,9,213,442,15,125,146,122
2017Q4,Westmeath,11,85,64,5,1,2,111,261,14,70,160,140
2017Q4,Kildare,27,165,80,8,1,13,288,618,47,126,188,151
2017Q4,Tipperary,21,138,100,5,0,7,114,318,21,132,259,234
2017Q4,Wexford,22,136,73,1,4,4,150,325,21,85,162,146
2017Q4,Kilkenny/Carlow,24,134,69,0,1,6,115,377,25,117,343,291
2017Q4,Waterford,28,123,55,1,0,13,162,423,14,104,258,239
2017Q4,D.M.R. South Central,37,311,34,2,3,101,313,2183,81,383,973,679
2017Q4,D.M.R. North Central,25,254,47,5,3,59,200,1823,83,249,644,405
2017Q4,D.M.R. Northern,48,328,77,5,5,102,409,1486,197,236,289,227
2017Q4,D.M.R. Southern,40,188,52,3,2,71,340,988,83,227,228,180
2017Q4,D.M.R. Eastern,24,136,28,1,4,21,503,856,40,90,157,127
2017Q4,D.M.R. Western,38,258,112,4,7,133,431,1605,218,328,297,256
2018Q1,Cavan/Monaghan,18,178,71,10,1,1,98,222,20,67,275,252
2018Q1,Donegal,43,202,80,4,3,6,48,180,15,67,276,260
2018Q1,Sligo/Leitrim,10,80,27,4,4,2,75,159,5,59,164,144
2018Q1,Louth,35,169,45,0,2,13,161,381,27,100,233,223
2018Q1,Clare,16,105,44,2,3,4,54,205,10,74,137,106
2018Q1,Mayo,15,103,45,2,2,2,70,204,11,82,169,147
2018Q1,Galway,35,207,98,3,1,20,148,478,24,167,447,403
2018Q1,Roscommon/Longford,13,101,48,5,1,4,73,168,9,25,100,90
2018Q1,Cork City,48,231,69,2,6,16,138,969,96,200,571,500
2018Q1,Cork North,20,113,72,5,1,1,77,252,26,150,218,198
2018Q1,Cork West,16,94,50,6,1,2,38,138,10,78,141,128
2018Q1,Kerry,14,156,83,4,3,3,67,240,9,107,355,313
2018Q1,Limerick,45,215,65,3,6,24,261,797,60,163,348,265
2018Q1,Laois/Offaly,34,203,61,5,1,7,97,326,24,398,188,168
2018Q1,Meath,26,142,63,2,6,14,152,463,47,74,118,96
2018Q1,Wicklow,28,128,29,0,1,4,117,379,16,116,126,105
2018Q1,Westmeath,12,109,38,2,1,7,54,180,6,49,157,132
2018Q1,Kildare,24,199,101,9,2,14,243,504,42,152,147,115
2018Q1,Tipperary,27,143,94,1,1,6,82,234,15,155,230,202
2018Q1,Wexford,36,145,53,0,0,2,123,294,11,91,135,124
2018Q1,Kilkenny/Carlow,31,108,54,1,0,7,104,278,14,152,245,219
2018Q1,Waterford,37,154,36,2,2,8,122,420,15,134,213,199
2018Q1,D.M.R. South Central,39,341,41,1,3,112,274,1981,46,253,846,652
2018Q1,D.M.R. North Central,30,301,53,3,2,60,206,1758,61,299,633,435
2018Q1,D.M.R. Northern,67,301,78,3,3,105,363,1708,272,250,288,230
2018Q1,D.M.R. Southern,47,207,58,3,8,65,359,871,84,224,223,180
2018Q1,D.M.R. Eastern,21,124,31,1,6,16,330,759,49,113,126,99
2018Q1,D.M.R. Western,51,304,84,7,7,87,356,1373,200,367,301,251
2018Q2,Cavan/Monaghan,21,198,88,18,1,2,111,232,25,73,292,267
2018Q2,Donegal,29,187,87,5,2,1,45,158,13,93,347,327
2018Q2,Sligo/Leitrim,16,93,28,1,1,2,60,171,10,70,139,127
2018Q2,Louth,30,196,59,0,0,17,150,406,13,114,256,232
2018Q2,Clare,12,96,49,3,0,0,65,239,10,69,191,166
2018Q2,Mayo,8,98,66,4,1,1,50,166,8,49,161,139
2018Q2,Galway,44,269,114,1,2,9,168,523,21,132,461,411
2018Q2,Roscommon/Longford,11,87,51,7,1,3,67,131,6,51,116,108
2018Q2,Cork City,56,274,80,6,11,23,117,963,78,253,687,565
2018Q2,Cork North,18,113,82,7,1,5,51,230,18,186,216,194
2018Q2,Cork West,9,92,42,6,1,0,17,118,8,81,142,127
2018Q2,Kerry,31,144,68,8,0,6,72,235,8,194,377,341
2018Q2,Limerick,20,248,71,3,15,15,222,775,50,167,340,252
2018Q2,Laois/Offaly,33,209,75,3,3,11,114,371,17,155,216,178
2018Q2,Meath,20,142,87,3,3,10,145,543,51,110,123,108
2018Q2,Wicklow,25,103,34,0,2,4,114,478,37,129,135,120
2018Q2,Westmeath,12,97,45,5,9,1,68,228,8,823,145,123
2018Q2,Kildare,28,221,103,11,1,12,205,588,34,176,178,150
2018Q2,Tipperary,31,165,111,5,3,3,73,294,19,133,295,280
2018Q2,Wexford,42,151,78,6,1,3,121,281,11,90,176,167
2018Q2,Kilkenny/Carlow,13,146,59,7,4,7,73,318,15,150,271,241
2018Q2,Waterford,24,172,60,2,0,12,103,429,13,190,222,198
2018Q2,D.M.R. South Central,42,334,33,3,1,92,234,1928,42,360,862,695
2018Q2,D.M.R. North Central,30,300,42,6,2,73,193,1946,56,359,684,492
2018Q2,D.M.R. Northern,49,336,93,4,5,96,386,1716,210,334,302,245
2018Q2,D.M.R. Southern,39,192,46,8,8,61,342,984,74,267,276,207
2018Q2,D.M.R. Eastern,40,148,29,5,1,26,263,791,54,143,163,121
2018Q2,D.M.R. Western,67,365,80,8,7,74,373,1447,196,391,343,291
2018Q3,Cavan/Monaghan,19,209,97,10,4,7,81,250,28,54,304,286
2018Q3,Donegal,32,156,76,5,2,4,62,178,13,59,269,258
2018Q3,Sligo/Leitrim,16,98,46,1,3,1,54,206,2,57,178,167
2018Q3,Louth,27,158,54,0,1,17,180,480,28,130,284,256
2018Q3,Clare,16,109,44,2,1,8,93,264,22,87,176,140
2018Q3,Mayo,20,115,53,5,1,3,56,189,6,57,176,156
2018Q3,Galway,34,212,91,1,2,12,173,483,25,122,419,352
2018Q3,Roscommon/Longford,25,98,30,12,3,4,66,194,10,34,95,88
2018Q3,Cork City,44,301,73,1,13,26,142,1067,83,209,598,503
2018Q3,Cork North,33,130,76,6,1,3,60,209,13,163,208,193
2018Q3,Cork West,19,101,48,8,1,2,20,103,4,133,173,150
2018Q3,Kerry,41,162,57,4,2,4,69,304,4,165,407,380
2018Q3,Limerick,25,238,90,5,3,21,213,809,45,148,353,214
2018Q3,Laois/Offaly,34,207,59,3,6,10,119,342,19,312,202,174
2018Q3,Meath,34,139,67,3,4,7,170,525,55,129,114,102
2018Q3,Wicklow,29,116,43,0,4,7,122,388,15,109,141,113
2018Q3,Westmeath,24,100,45,1,1,1,61,219,9,123,139,116
2018Q3,Kildare,29,189,93,15,2,13,227,566,45,166,221,181
2018Q3,Tipperary,23,133,73,2,7,4,113,282,18,178,281,263
2018Q3,Wexford,30,143,81,3,6,7,100,337,20,71,194,176
2018Q3,Kilkenny/Carlow,24,118,66,5,0,1,118,295,13,139,300,270
2018Q3,Waterford,20,124,49,2,1,18,104,480,27,118,249,228
2018Q3,D.M.R. South Central,29,306,50,3,5,107,323,2077,55,322,857,696
2018Q3,D.M.R. North Central,37,305,41,2,5,74,185,1729,69,309,629,469
2018Q3,D.M.R. Northern,37,317,74,5,7,94,417,1642,185,274,322,251
2018Q3,D.M.R. Southern,37,221,62,9,4,60,308,1020,91,451,293,221
2018Q3,D.M.R. Eastern,24,125,40,2,2,18,276,810,50,98,176,127
2018Q3,D.M.R. Western,58,334,77,8,9,104,352,1437,193,482,313,273
2018Q4,Cavan/Monaghan,28,181,90,28,8,2,113,274,28,70,349,319
2018Q4,Donegal,30,168,87,6,2,3,70,174,15,67,302,281
2018Q4,Sligo/Leitrim,23,95,30,1,3,4,53,173,5,61,144,133
2018Q4,Louth,30,183,67,0,4,13,170,448,30,151,277,254
2018Q4,Clare,10,89,43,3,1,6,69,240,13,88,148,121
2018Q4,Mayo,22,113,52,7,4,4,34,168,1,50,178,168
2018Q4,Galway,35,268,91,2,5,8,121,443,17,114,423,363
2018Q4,Roscommon/Longford,6,106,39,3,2,3,50,147,6,34,105,93
2018Q4,Cork City,61,303,82,6,13,20,123,1129,63,276,688,577
2018Q4,Cork North,18,143,61,5,2,2,69,211,9,139,211,196
2018Q4,Cork West,16,81,48,13,0,1,41,118,10,49,124,110
2018Q4,Kerry,20,156,70,3,1,7,46,218,11,159,361,329
2018Q4,Limerick,45,237,63,8,16,20,241,841,48,152,353,260
2018Q4,Laois/Offaly,23,190,82,6,1,6,120,361,15,120,209,185
2018Q4,Meath,18,129,72,1,2,9,155,505,41,66,136,112
2018Q4,Wicklow,24,113,32,0,0,8,144,379,13,150,131,114
2018Q4,Westmeath,18,95,35,2,3,5,64,229,13,77,169,159
2018Q4,Kildare,24,191,102,25,4,16,230,598,53,165,201,176
2018Q4,Tipperary,16,139,104,3,3,5,111,306,15,147,311,286
2018Q4,Wexford,17,149,57,6,2,4,110,276,19,76,194,166
2018Q4,Kilkenny/Carlow,29,120,59,4,1,7,115,333,13,149,309,271
2018Q4,Waterford,27,176,61,3,3,11,81,441,12,127,265,246
2018Q4,D.M.R. South Central,42,317,39,1,1,99,283,2083,77,305,995,715
2018Q4,D.M.R. North Central,32,299,44,4,5,78,186,2004,91,243,615,443
2018Q4,D.M.R. Northern,38,383,70,5,2,106,454,1724,229,234,335,258
2018Q4,D.M.R. Southern,39,261,63,11,5,75,388,1143,70,259,299,237
2018Q4,D.M.R. Eastern,11,128,43,5,5,21,309,805,42,82,175,143
2018Q4,D.M.R. Western,54,371,107,13,7,89,452,1672,271,457,360,312
2019Q1,Cavan/Monaghan,21,198,75,28,0,6,109,226,15,80,278,255
2019Q1,Donegal,38,215,100,12,1,3,59,176,20,96,345,329
2019Q1,Sligo/Leitrim,22,98,31,0,1,3,60,161,5,57,147,139
2019Q1,Louth,31,174,44,0,1,25,110,407,22,173,271,252
2019Q1,Clare,13,108,56,5,0,3,52,195,16,110,109,92
2019Q1,Mayo,26,120,45,11,2,4,32,155,3,31,163,147
2019Q1,Galway,46,237,94,6,1,3,121,455,20,135,390,353
2019Q1,Roscommon/Longford,9,109,22,4,2,2,57,164,12,58,98,89
2019Q1,Cork City,51,302,65,5,10,16,96,959,81,289,543,493
2019Q1,Cork North,32,174,67,17,1,1,56,202,14,170,227,211
2019Q1,Cork West,26,89,48,15,0,2,27,112,9,86,154,130
2019Q1,Kerry,36,172,63,18,1,2,53,246,8,205,317,285
2019Q1,Limerick,33,254,59,17,7,24,204,733,44,197,301,252
2019Q1,Laois/Offaly,30,205,71,9,3,5,98,371,26,237,205,187
2019Q1,Meath,19,159,65,2,2,13,104,438,40,120,151,125
2019Q1,Wicklow,25,119,43,7,1,8,156,439,26,122,147,122
2019Q1,Westmeath,22,115,35,4,0,10,67,242,24,82,147,126
2019Q1,Kildare,35,204,66,38,1,17,275,623,42,180,219,183
2019Q1,Tipperary,24,142,94,4,0,4,113,272,19,164,242,229
2019Q1,Wexford,26,151,66,3,5,5,122,276,17,128,159,141
2019Q1,Kilkenny/Carlow,31,112,64,2,4,10,70,296,16,156,305,280
2019Q1,Waterford,23,155,45,12,2,9,61,394,14,222,249,234
2019Q1,D.M.R. South Central,46,327,28,6,3,94,297,2062,81,329,845,713
2019Q1,D.M.R. North Central,37,343,53,4,1,67,150,1692,64,305,665,491
2019Q1,D.M.R. Northern,66,416,75,7,2,80,408,1639,204,334,334,266
2019Q1,D.M.R. Southern,39,228,44,16,4,61,336,1193,94,306,319,241
2019Q1,D.M.R. Eastern,28,125,38,3,3,21,275,725,31,184,187,120
2019Q1,D.M.R. Western,87,384,102,25,8,79,448,1632,291,503,362,305
2019Q2,Cavan/Monaghan,25,195,84,30,1,4,69,244,28,80,316,287
2019Q2,Donegal,33,210,97,19,2,6,60,194,12,162,367,333
2019Q2,Sligo/Leitrim,23,89,42,7,0,5,55,184,7,80,220,206
2019Q2,Louth,27,181,47,0,2,24,122,475,28,202,231,208
2019Q2,Clare,20,87,40,2,2,7,52,213,19,88,149,125
2019Q2,Mayo,16,98,38,9,0,1,29,196,7,35,152,135
2019Q2,Galway,46,240,101,4,2,10,108,546,21,145,449,396
2019Q2,Roscommon/Longford,12,118,33,11,1,0,68,114,8,59,110,97
2019Q2,Cork City,50,333,62,5,8,37,126,996,64,259,609,550
2019Q2,Cork North,33,163,62,25,1,3,60,221,15,172,227,210
2019Q2,Cork West,10,83,51,18,1,1,28,104,5,118,165,151
2019Q2,Kerry,30,201,57,12,1,2,67,245,10,170,392,357
2019Q2,Limerick,35,220,59,12,5,18,180,756,34,231,315,233
2019Q2,Laois/Offaly,37,196,71,12,1,4,104,352,17,131,195,174
2019Q2,Meath,25,130,58,1,3,15,137,561,67,174,144,124
2019Q2,Wicklow,28,122,37,3,1,2,169,454,17,154,159,142
2019Q2,Westmeath,15,94,36,5,4,6,76,260,19,939,149,133
2019Q2,Kildare,28,173,81,43,2,14,195,664,52,195,222,189
2019Q2,Tipperary,24,129,107,2,3,1,101,291,29,142,265,246
2019Q2,Wexford,30,127,51,8,2,7,108,247,16,110,162,143
2019Q2,Kilkenny/Carlow,19,94,64,2,2,5,78,325,13,136,283,260
2019Q2,Waterford,39,150,53,7,2,11,98,466,13,205,243,226
2019Q2,D.M.R. South Central,41,356,31,6,2,76,280,2035,52,368,927,788
2019Q2,D.M.R. North Central,40,346,49,13,1,73,152,1910,74,382,605,489
2019Q2,D.M.R. Northern,57,366,68,17,7,56,374,1584,200,393,364,287
2019Q2,D.M.R. Southern,49,238,49,16,7,61,323,1129,81,421,325,255
2019Q2,D.M.R. Eastern,14,127,27,10,1,15,258,804,46,150,205,139
2019Q2,D.M.R. Western,42,387,101,28,8,64,439,1797,223,597,386,319
2019Q3,Cavan/Monaghan,24,198,64,43,3,5,126,250,22,87,295,270
2019Q3,Donegal,28,219,85,14,1,5,77,197,13,84,327,292
2019Q3,Sligo/Leitrim,12,117,30,3,1,4,42,177,9,63,184,171
2019Q3,Louth,20,173,47,1,2,26,133,466,23,204,340,311
2019Q3,Clare,13,112,58,2,1,3,56,215,14,70,128,118
2019Q3,Mayo,19,114,45,10,2,5,68,187,8,38,162,152
2019Q3,Galway,48,246,86,3,4,13,163,571,27,144,449,414
2019Q3,Roscommon/Longford,17,122,33,18,1,3,68,136,10,71,92,83
2019Q3,Cork City,53,379,64,6,5,52,138,977,70,271,580,511
2019Q3,Cork North,25,151,55,10,1,4,53,270,22,122,239,211
2019Q3,Cork West,21,99,57,22,0,1,22,93,9,76,142,127
2019Q3,Kerry,19,172,67,11,3,3,77,295,9,175,345,314
2019Q3,Limerick,28,231,63,16,4,12,180,699,34,170,325,240
2019Q3,Laois/Offaly,29,236,61,4,2,7,116,383,13,551,245,218
2019Q3,Meath,15,171,74,3,2,11,151,526,45,64,156,127
2019Q3,Wicklow,28,146,33,4,1,9,195,490,22,147,164,130
2019Q3,Westmeath,16,119,34,3,2,7,72,266,17,70,140,123
2019Q3,Kildare,33,200,77,49,2,6,253,625,48,251,227,192
2019Q3,Tipperary,29,144,71,4,2,5,80,261,12,86,264,246
2019Q3,Wexford,29,126,49,4,1,2,122,242,10,91,146,131
2019Q3,Kilkenny/Carlow,28,122,57,1,2,4,100,334,17,161,280,246
2019Q3,Waterford,31,179,47,4,2,11,109,456,16,150,237,223
2019Q3,D.M.R. South Central,41,363,20,9,3,94,298,2187,59,329,890,756
2019Q3,D.M.R. North Central,28,300,38,8,1,63,162,1916,78,349,650,511
2019Q3,D.M.R. Northern,51,417,84,17,3,88,433,1712,201,455,367,302
2019Q3,D.M.R. Southern,43,256,65,16,5,57,342,1176,95,329,296,243
2019Q3,D.M.R. Eastern,20,143,32,5,4,25,218,915,45,124,164,125
2019Q3,D.M.R. Western,73,408,124,34,6,67,443,1681,238,605,359,296
2019Q4,Cavan/Monaghan,22,171,90,32,3,12,115,210,19,91,365,340
2019Q4,Donegal,33,222,89,23,2,4,63,139,10,117,351,319
2019Q4,Sligo/Leitrim,11,110,32,7,4,2,54,164,9,71,176,159
2019Q4,Louth,23,178,48,2,1,18,151,423,17,169,287,264
2019Q4,Clare,9,113,40,1,1,6,59,184,14,64,119,102
2019Q4,Mayo,21,100,42,5,1,4,40,166,4,62,148,133
2019Q4,Galway,52,250,95,5,4,14,139,501,19,136,445,405
2019Q4,Roscommon/Longford,12,120,23,10,1,11,49,149,7,76,103,94
2019Q4,Cork City,40,314,71,8,3,29,124,933,59,243,579,520
2019Q4,Cork North,15,169,55,20,0,2,63,255,17,118,218,206
2019Q4,Cork West,7,87,35,11,0,2,22,85,8,62,122,112
2019Q4,Kerry,19,194,72,16,1,6,60,266,16,156,377,343
2019Q4,Limerick,45,247,56,34,9,27,246,801,31,185,285,214
2019Q4,Laois/Offaly,31,183,67,10,3,5,115,299,13,121,233,213
2019Q4,Meath,23,137,85,1,1,7,178,509,74,120,135,116
2019Q4,Wicklow,15,99,42,11,2,10,158,432,19,148,141,115
2019Q4,Westmeath,10,121,41,4,2,7,97,256,9,89,132,118
2019Q4,Kildare,41,175,82,32,2,18,261,488,33,162,192,173
2019Q4,Tipperary,18,151,60,3,3,3,109,246,12,125,232,220
2019Q4,Wexford,28,123,66,3,4,1,126,213,13,81,162,148
2019Q4,Kilkenny/Carlow,22,123,56,5,0,4,107,292,12,148,266,226
2019Q4,Waterford,21,158,62,8,2,4,100,384,10,180,234,212
2019Q4,D.M.R. South Central,42,384,30,10,6,97,317,2121,82,316,766,650
2019Q4,D.M.R. North Central,36,328,40,14,1,66,134,1789,69,307,728,527
2019Q4,D.M.R. Northern,35,394,71,11,6,100,459,1667,229,378,330,272
2019Q4,D.M.R. Southern,50,265,53,13,5,68,398,1162,76,297,286,219
2019Q4,D.M.R. Eastern,30,142,34,6,2,32,292,887,45,132,182,137
2019Q4,D.M.R. Western,61,430,90,30,8,88,485,1604,198,462,387,323
2020Q1,Cavan/Monaghan,20,146,72,31,2,1,102,223,15,99,229,203
2020Q1,Donegal,27,175,60,47,2,1,44,141,11,100,217,197
2020Q1,Sligo/Leitrim,15,87,18,12,1,2,58,158,8,77,158,138
2020Q1,Louth,27,167,40,10,1,9,95,396,26,225,236,215
2020Q1,Clare,14,95,26,5,0,6,61,182,12,104,122,100
2020Q1,Mayo,19,88,36,6,0,3,25,160,12,86,124,114
2020Q1,Galway,30,222,80,6,2,11,126,444,21,96,363,306
2020Q1,Roscommon/Longford,15,100,30,33,1,3,41,140,9,51,87,74
2020Q1,Cork City,51,279,56,12,5,23,111,784,61,312,478,431
2020Q1,Cork North,11,133,54,23,0,1,58,172,11,147,198,183
2020Q1,Cork West,16,77,26,19,1,2,19,87,9,73,79,69
2020Q1,Kerry,26,129,46,14,1,4,48,205,15,147,260,240
2020Q1,Limerick,32,193,39,27,5,13,192,912,43,208,330,218
2020Q1,Laois/Offaly,28,162,53,15,1,4,95,293,19,184,158,147
2020Q1,Meath,20,163,62,6,1,16,133,488,50,137,131,116
2020Q1,Wicklow,18,92,36,21,1,14,84,324,12,157,118,103
2020Q1,Westmeath,19,92,28,7,1,7,42,165,6,103,106,96
2020Q1,Kildare,17,169,41,30,4,8,123,452,31,190,170,150
2020Q1,Tipperary,14,107,61,16,2,2,83,258,21,157,196,180
2020Q1,Wexford,26,113,27,18,1,4,97,204,6,98,106,93
2020Q1,Kilkenny/Carlow,32,103,42,12,1,7,73,230,7,164,243,229
2020Q1,Waterford,26,159,34,22,0,11,72,308,17,177,211,186
2020Q1,D.M.R. South Central,41,290,36,15,2,74,269,1466,59,363,673,572
2020Q1,D.M.R. North Central,26,293,47,22,0,59,194,1355,61,369,641,481
2020Q1,D.M.R. Northern,43,390,82,43,5,83,229,1438,216,393,347,292
2020Q1,D.M.R. Southern,32,188,57,43,2,61,285,866,66,324,319,258
2020Q1,D.M.R. Eastern,22,151,25,16,2,19,246,744,50,133,192,130
2020Q1,D.M.R. Western,67,371,93,75,6,54,307,1444,173,729,421,334
2020Q2,Cavan/Monaghan,16,164,66,53,0,5,51,140,12,143,214,197
2020Q2,Donegal,29,152,49,54,2,5,30,127,13,170,183,165
2020Q2,Sligo/Leitrim,13,76,21,13,0,3,42,115,3,110,116,107
2020Q2,Louth,30,198,26,27,1,7,80,309,18,280,270,233
2020Q2,Clare,9,74,31,5,0,2,32,149,5,115,96,87
2020Q2,Mayo,20,103,32,5,1,3,25,101,4,83,96,83
2020Q2,Galway,44,243,95,10,2,12,93,401,16,155,381,345
2020Q2,Roscommon/Longford,13,97,28,13,0,2,24,154,4,75,97,87
2020Q2,Cork City,46,280,49,8,4,21,85,668,49,416,593,535
2020Q2,Cork North,19,116,51,15,1,1,29,160,10,176,175,157
2020Q2,Cork West,25,75,40,23,0,9,9,77,7,74,107,96
2020Q2,Kerry,21,138,32,18,1,2,34,183,4,172,251,231
2020Q2,Limerick,32,183,36,35,13,17,125,512,25,265,286,206
2020Q2,Laois/Offaly,22,170,35,17,1,7,60,317,21,179,181,161
2020Q2,Meath,27,135,52,6,3,8,75,377,37,147,148,130
2020Q2,Wicklow,21,80,28,13,0,2,51,256,11,207,144,121
2020Q2,Westmeath,17,93,28,5,1,0,29,132,6,96,86,74
2020Q2,Kildare,33,155,50,32,1,3,88,381,23,215,168,143
2020Q2,Tipperary,25,141,71,18,2,4,57,233,19,220,208,192
2020Q2,Wexford,24,120,21,14,2,7,91,221,10,103,141,126
2020Q2,Kilkenny/Carlow,40,82,36,27,1,5,62,192,10,164,219,193
2020Q2,Waterford,17,147,42,35,2,6,49,215,12,195,216,203
2020Q2,D.M.R. South Central,29,262,33,17,3,52,161,1121,51,384,726,642
2020Q2,D.M.R. North Central,24,259,35,25,0,46,88,952,51,369,808,557
2020Q2,D.M.R. Northern,45,362,75,28,4,72,172,1299,133,524,432,351
2020Q2,D.M.R. Southern,33,209,57,48,2,31,145,789,84,397,356,297
2020Q2,D.M.R. Eastern,32,159,37,12,1,12,140,676,38,142,240,187
2020Q2,D.M.R. Western,55,411,101,70,6,64,217,1222,125,947,508,437
2020Q3,Cavan/Monaghan,16,173,66,44,1,2,54,140,9,134,221,203
2020Q3,Donegal,32,151,67,50,3,1,28,116,7,125,218,206
2020Q3,Sligo/Leitrim,14,76,32,10,1,4,34,153,9,66,154,140
2020Q3,Louth,22,202,38,20,3,7,99,346,14,203,274,247
2020Q3,Clare,20,95,30,4,1,2,43,199,9,106,111,97
2020Q3,Mayo,19,109,41,9,1,1,28,133,9,85,140,130
2020Q3,Galway,40,253,91,5,1,12,106,440,19,170,438,394
2020Q3,Roscommon/Longford,8,92,15,14,3,2,22,151,9,89,85,74
2020Q3,Cork City,43,262,56,19,4,23,94,693,46,387,549,486
2020Q3,Cork North,24,145,51,28,1,3,44,186,11,181,199,174
2020Q3,Cork West,6,101,35,21,1,4,20,104,10,86,90,81
2020Q3,Kerry,20,169,41,34,2,3,44,184,5,128,264,239
2020Q3,Limerick,44,202,48,61,4,17,131,698,21,213,456,221
2020Q3,Laois/Offaly,29,178,35,11,2,5,62,298,17,167,206,178
2020Q3,Meath,14,140,84,9,3,8,107,490,54,115,161,130
2020Q3,Wicklow,31,96,40,11,1,5,115,385,22,150,164,139
2020Q3,Westmeath,16,119,37,7,2,7,40,192,10,83,125,115
2020Q3,Kildare,31,160,59,48,1,7,108,473,44,172,210,175
2020Q3,Tipperary,31,141,68,30,0,1,67,265,27,176,222,201
2020Q3,Wexford,31,164,34,20,0,3,97,239,17,106,126,103
2020Q3,Kilkenny/Carlow,52,107,56,18,3,7,55,230,12,169,237,217
2020Q3,Waterford,31,200,43,44,0,12,54,302,13,174,244,226
2020Q3,D.M.R. South Central,43,262,30,15,3,75,225,1373,82,365,926,790
2020Q3,D.M.R. North Central,30,298,43,28,4,55,141,1225,60,343,753,539
2020Q3,D.M.R. Northern,54,377,76,36,5,78,281,1585,168,439,373,288
2020Q3,D.M.R. Southern,41,216,55,36,4,31,190,1009,83,347,350,293
2020Q3,D.M.R. Eastern,38,156,33,13,0,23,230,813,57,133,243,172
2020Q3,D.M.R. Western,58,429,103,91,6,75,288,1539,170,767,411,343
2020Q4,Cavan/Monaghan,14,163,54,35,2,3,48,144,17,105,198,184
2020Q4,Donegal,25,184,48,45,4,6,37,146,11,141,198,175
2020Q4,Sligo/Leitrim,22,83,24,20,0,5,25,105,2,70,120,106
2020Q4,Louth,28,142,44,24,1,7,86,339,12,212,232,202
2020Q4,Clare,12,60,27,1,1,2,42,163,13,110,66,60
2020Q4,Mayo,9,79,26,8,1,1,24,121,5,70,76,67
2020Q4,Galway,28,221,65,4,4,15,88,354,21,116,322,286
2020Q4,Roscommon/Longford,18,67,34,21,1,3,30,131,3,62,98,93
2020Q4,Cork City,50,282,70,9,8,16,77,543,37,369,491,452
2020Q4,Cork North,24,129,48,36,1,4,35,134,12,191,172,158
2020Q4,Cork West,14,68,20,27,0,3,6,78,7,112,84,71
2020Q4,Kerry,13,148,34,24,2,6,54,164,9,124,202,186
2020Q4,Limerick,25,206,36,31,10,10,128,625,31,191,337,192
2020Q4,Laois/Offaly,28,162,42,16,2,3,53,248,24,188,143,127
2020Q4,Meath,30,129,81,12,1,12,80,368,46,128,130,116
2020Q4,Wicklow,28,109,29,27,1,5,72,269,15,144,135,118
2020Q4,Westmeath,11,86,24,4,3,2,37,168,9,110,88,81
2020Q4,Kildare,24,183,46,46,3,8,115,355,25,208,183,152
2020Q4,Tipperary,22,129,48,17,1,2,69,250,15,182,190,165
2020Q4,Wexford,28,130,30,15,1,6,86,205,11,107,92,77
2020Q4,Kilkenny/Carlow,31,107,32,15,2,3,44,171,6,164,188,175
2020Q4,Waterford,14,121,39,44,0,11,51,256,13,250,211,193
2020Q4,D.M.R. South Central,29,229,28,15,1,72,205,1194,57,307,827,725
2020Q4,D.M.R. North Central,30,277,38,15,1,51,130,1114,75,356,656,499
2020Q4,D.M.R. Northern,56,391,57,26,2,68,243,1372,143,370,358,307
2020Q4,D.M.R. Southern,46,207,48,33,5,43,263,933,82,296,316,242
2020Q4,D.M.R. Eastern,26,117,27,9,2,18,232,717,57,85,198,148
2020Q4,D.M.R. Western,55,369,90,70,10,57,261,1360,144,751,408,335
2021Q1,Cavan/Monaghan,27,160,60,37,1,5,36,157,18,95,205,190
2021Q1,Donegal,27,183,59,58,5,3,27,104,7,154,180,168
2021Q1,Sligo/Leitrim,17,76,31,23,0,3,34,90,3,58,121,110
2021Q1,Louth,28,159,26,21,1,16,77,315,23,222,226,186
2021Q1,Clare,18,92,22,1,0,3,28,162,9,73,113,94
2021Q1,Mayo,17,113,28,5,1,4,35,111,10,86,101,88
2021Q1,Galway,38,214,74,9,0,12,78,331,19,139,356,306
2021Q1,Roscommon/Longford,17,87,24,20,2,0,24,99,4,132,102,91
2021Q1,Cork City,37,252,60,11,5,13,60,487,43,498,500,448
2021Q1,Cork North,22,135,35,31,1,4,26,114,10,210,153,141
2021Q1,Cork West,15,83,17,37,0,3,13,72,7,106,65,60
2021Q1,Kerry,21,124,27,10,1,4,18,161,11,142,209,182
2021Q1,Limerick,34,161,37,43,17,9,77,583,41,250,372,218
