county,year,full_licence,Under 17 years,17 - 20 years,21 - 24 years,25 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and over,learner
Wicklow,2021,93806,0,1256,3552,5658,15977,21918,19449,14266,8779,2951,9362
Clare,2021,81584,0,1480,3814,5538,13597,17167,16350,12765,8160,2713,6853
Cork,2021,347465,0,6136,14909,22665,63430,77781,67708,51693,31838,11305,32326
Kerry,2021,101415,0,1845,4523,6533,17323,20750,19521,16771,10637,3512,8251
Limerick,2021,123059,0,2204,5597,8435,22950,26890,22659,18584,11761,3979,11883
Tipperary,2021,108401,0,1927,4958,7429,18896,22495,20943,17101,10678,3974,10638
Waterford,2021,75870,0,1202,3003,4959,13638,16807,15014,11414,7233,2600,8171
Galway,2021,167241,0,2627,6778,10887,31607,38517,31917,24867,14921,5120,15351
Leitrim,2021,23128,0,430,989,1467,4016,4798,4372,3878,2391,787,1890
Mayo,2021,91676,0,1700,4116,6340,16808,17814,17068,14949,9616,3265,7487
Roscommon,2021,45130,0,839,1932,2981,7938,9037,8501,7554,4634,1714,3750
Sligo,2021,44390,0,684,1841,2806,7913,9092,8279,7399,4711,1665,3825
Cavan,2021,50276,0,1021,2544,3673,9656,10628,9471,7395,4352,1536,4689
Donegal,2021,105280,0,2006,4830,7172,19163,22164,20264,15980,10198,3503,9021
Monaghan,2021,42693,0,880,2144,3220,8237,9039,7721,6340,3866,1246,3178
